game_name,event,date,idvisitor_converted,idvisit,idlink_va,server_time,idaction_name,custom_dimension_2,datetime,days_since_july_2,week_number,time_group_week,time_group_month
Beginning Sound Ma Ka La Hindi,Completed,2025-08-22,74,76,94,2025-02-25,1,1,2025-02-25,0,1,Week 1,February 2025
Beginning Sound Ma Ka La Hindi,Completed,2025-08-23,1161,1174,1237,2025-02-25,1,1,2025-02-25,0,1,Week 1,February 2025
Beginning Sound Ma Ka La Hindi,Completed,2025-08-24,461,469,501,2025-02-25,1,1,2025-02-25,0,1,Week 1,February 2025
Beginning Sound Ma Ka La Hindi,Completed,2025-08-25,155,157,168,2025-02-25,1,1,2025-02-25,0,1,Week 1,February 2025
Beginning Sound Ma Ka La Hindi,Completed,2025-08-26,111,112,125,2025-02-25,1,1,2025-02-25,0,1,Week 1,February 2025
Beginning Sound Ma Ka La Hindi,Completed,2025-08-27,83,87,91,2025-02-25,1,1,2025-02-25,0,1,Week 1,February 2025
Beginning Sound Ma Ka La Hindi,Completed,2025-08-28,40,40,43,2025-02-25,1,1,2025-02-25,0,1,Week 1,February 2025
Beginning Sound Ma Ka La Hindi,Completed,2025-08-29,62,62,64,2025-02-25,1,1,2025-02-25,0,1,Week 1,February 2025
Beginning Sound Ma Ka La Hindi,Completed,2025-08-30,72,74,81,2025-02-25,1,1,2025-02-25,0,1,Week 1,February 2025
Beginning Sound Ma Ka La Hindi,Completed,2025-08-31,48,49,51,2025-02-25,1,1,2025-02-25,0,1,Week 1,February 2025
Beginning Sound Ma Ka La Hindi,Completed,2025-09-01,72,73,78,2025-02-25,1,1,2025-02-25,0,1,Week 1,February 2025
Beginning Sound Ma Ka La Hindi,Completed,2025-09-02,30,32,33,2025-02-25,1,1,2025-02-25,0,1,Week 1,February 2025
Beginning Sound Ma Ka La Hindi,Completed,2025-09-03,18,18,18,2025-02-25,1,1,2025-02-25,0,1,Week 1,February 2025
Beginning Sound Ma Ka La Hindi,Completed,2025-09-04,20,20,20,2025-02-25,1,1,2025-02-25,0,1,Week 1,February 2025
Beginning Sound Ma Ka La Hindi,Completed,2025-09-05,23,23,24,2025-02-25,1,1,2025-02-25,0,1,Week 1,February 2025
Beginning Sound Ma Ka La Hindi,Completed,2025-09-06,5,5,5,2025-02-25,1,1,2025-02-25,0,1,Week 1,February 2025
Beginning Sound Ma Ka La Hindi,Completed,2025-09-07,5,5,5,2025-02-25,1,1,2025-02-25,0,1,Week 1,February 2025
Beginning Sound Ma Ka La Hindi,Completed,2025-09-08,10,10,10,2025-02-25,1,1,2025-02-25,0,1,Week 1,February 2025
Beginning Sound Ma Ka La Hindi,Completed,2025-09-09,18,18,19,2025-02-25,1,1,2025-02-25,0,1,Week 1,February 2025
Beginning Sound Ma Ka La Hindi,Completed,2025-09-10,29,29,29,2025-02-25,1,1,2025-02-25,0,1,Week 1,February 2025
Beginning Sound Ma Ka La Hindi,Completed,2025-09-11,23,23,27,2025-02-25,1,1,2025-02-25,0,1,Week 1,February 2025
Beginning Sound Ma Ka La Hindi,Completed,2025-09-12,26,26,28,2025-02-25,1,1,2025-02-25,0,1,Week 1,February 2025
Beginning Sound Ma Ka La Hindi,Completed,2025-09-13,23,23,25,2025-02-25,1,1,2025-02-25,0,1,Week 1,February 2025
Beginning Sound Ma Ka La Hindi,Completed,2025-09-14,21,21,21,2025-02-25,1,1,2025-02-25,0,1,Week 1,February 2025
Beginning Sound Ma Ka La Hindi,Completed,2025-09-15,51,52,55,2025-02-25,1,1,2025-02-25,0,1,Week 1,February 2025
Beginning Sound Ma Ka La Hindi,Completed,2025-09-16,39,41,44,2025-02-25,1,1,2025-02-25,0,1,Week 1,February 2025
Beginning Sound Ma Ka La Hindi,Completed,2025-09-17,25,25,26,2025-02-25,1,1,2025-02-25,0,1,Week 1,February 2025
Beginning Sound Ma Ka La Hindi,Completed,2025-09-18,16,16,17,2025-02-25,1,1,2025-02-25,0,1,Week 1,February 2025
Beginning Sound Ma Ka La Hindi,Completed,2025-09-19,25,25,28,2025-02-25,1,1,2025-02-25,0,1,Week 1,February 2025
Beginning Sound Ma Ka La Hindi,Completed,2025-09-20,19,19,20,2025-02-25,1,1,2025-02-25,0,1,Week 1,February 2025
Beginning Sound Ma Ka La Hindi,Completed,2025-09-21,8,8,8,2025-02-25,1,1,2025-02-25,0,1,Week 1,February 2025
Beginning Sound Ma Ka La Hindi,Completed,2025-09-22,19,19,20,2025-02-25,1,1,2025-02-25,0,1,Week 1,February 2025
Beginning Sound Ma Ka La Hindi,Completed,2025-09-23,11,11,11,2025-02-25,1,1,2025-02-25,0,1,Week 1,February 2025
Beginning Sound Ma Ka La Hindi,Completed,2025-09-24,14,14,16,2025-02-25,1,1,2025-02-25,0,1,Week 1,February 2025
Beginning Sound Ma Ka La Hindi,Completed,2025-09-25,11,11,11,2025-02-25,1,1,2025-02-25,0,1,Week 1,February 2025
Beginning Sound Ma Ka La Hindi,Completed,2025-09-26,12,12,13,2025-02-25,1,1,2025-02-25,0,1,Week 1,February 2025
Beginning Sound Ma Ka La Hindi,Completed,2025-09-27,29,29,33,2025-02-25,1,1,2025-02-25,0,1,Week 1,February 2025
Beginning Sound Ma Ka La Hindi,Completed,2025-09-28,17,17,20,2025-02-25,1,1,2025-02-25,0,1,Week 1,February 2025
Beginning Sound Ma Ka La Hindi,Completed,2025-09-29,38,38,40,2025-02-25,1,1,2025-02-25,0,1,Week 1,February 2025
Beginning Sound Ma Ka La Hindi,Completed,2025-09-30,18,18,19,2025-02-25,1,1,2025-02-25,0,1,Week 1,February 2025
Beginning Sound Ma Ka La Hindi,Completed,2025-10-01,8,8,8,2025-02-25,1,1,2025-02-25,0,1,Week 1,February 2025
Beginning Sound Ma Ka La Hindi,Completed,2025-10-02,10,10,12,2025-02-25,1,1,2025-02-25,0,1,Week 1,February 2025
Beginning Sound Ma Ka La Hindi,Completed,2025-10-03,8,8,8,2025-02-25,1,1,2025-02-25,0,1,Week 1,February 2025
Beginning Sound Ma Ka La Hindi,Completed,2025-10-04,9,9,10,2025-02-25,1,1,2025-02-25,0,1,Week 1,February 2025
Beginning Sound Ma Ka La Hindi,Completed,2025-10-05,6,6,7,2025-02-25,1,1,2025-02-25,0,1,Week 1,February 2025
Beginning Sound Ma Ka La Hindi,Completed,2025-10-06,6,6,6,2025-02-25,1,1,2025-02-25,0,1,Week 1,February 2025
Beginning Sound Ma Ka La Hindi,Completed,2025-10-07,14,14,14,2025-02-25,1,1,2025-02-25,0,1,Week 1,February 2025
Beginning Sound Ma Ka La Hindi,Completed,2025-10-08,108,108,113,2025-02-25,1,1,2025-02-25,0,1,Week 1,February 2025
Beginning Sound Ma Ka La Hindi,Completed,2025-10-09,64,64,70,2025-02-25,1,1,2025-02-25,0,1,Week 1,February 2025
Beginning Sound Ma Ka La Hindi,Completed,2025-10-10,111,111,117,2025-02-25,1,1,2025-02-25,0,1,Week 1,February 2025
Beginning Sound Ma Ka La Hindi,Completed,2025-10-11,78,78,81,2025-02-25,1,1,2025-02-25,0,1,Week 1,February 2025
Beginning Sound Ma Ka La Hindi,Completed,2025-10-12,12,13,14,2025-02-25,1,1,2025-02-25,0,1,Week 1,February 2025
Beginning Sound Ma Ka La Hindi,Completed,2025-10-13,8,8,8,2025-02-25,1,1,2025-02-25,0,1,Week 1,February 2025
Beginning Sound Ma Ka La Hindi,Completed,2025-10-14,13,13,14,2025-02-25,1,1,2025-02-25,0,1,Week 1,February 2025
Beginning Sound Ma Ka La Hindi,Completed,2025-10-15,13,13,13,2025-02-25,1,1,2025-02-25,0,1,Week 1,February 2025
