period_label,game_name,instance_count,period_type
2025-07-02,Shape Circle,753,Daily
2025-07-03,Shape Circle,194,Daily
2025-07-04,Shape Circle,891,Daily
2025-07-05,Shape Circle,3409,Daily
2025-07-06,Shape Circle,1103,Daily
2025-07-07,Shape Circle,3999,Daily
2025-07-08,Shape Circle,1676,Daily
2025-07-09,Shape Circle,3248,Daily
2025-07-10,Shape Circle,1167,Daily
2025-07-11,Shape Circle,4289,Daily
2025-07-12,Shape Circle,3907,Daily
2025-07-13,Shape Circle,1306,Daily
2025-07-14,Shape Circle,3448,Daily
2025-07-15,Shape Circle,1403,Daily
2025-07-16,Shape Circle,2859,Daily
2025-07-17,Shape Circle,1156,Daily
2025-07-18,Shape Circle,3584,Daily
2025-07-19,Shape Circle,1424,Daily
2025-07-20,Shape Circle,583,Daily
2025-07-21,Shape Circle,2899,Daily
2025-07-22,Shape Circle,605,Daily
2025-07-30,Shape Circle,2975,Daily
2025-07-31,Shape Circle,2175,Daily
2025-08-01,Shape Circle,4099,Daily
2025-08-02,Shape Circle,1816,Daily
2025-08-03,Shape Circle,373,Daily
2025-08-04,Shape Circle,362,Daily
2025-08-05,Shape Circle,223,Daily
2025-08-06,Shape Circle,2069,Daily
2025-08-07,Shape Circle,1348,Daily
2025-08-08,Shape Circle,3263,Daily
2025-08-09,Shape Circle,2504,Daily
2025-08-10,Shape Circle,1126,Daily
2025-08-11,Shape Circle,561,Daily
2025-08-12,Shape Circle,1568,Daily
2025-08-13,Shape Circle,2206,Daily
2025-08-14,Shape Circle,1324,Daily
2025-08-15,Shape Circle,2283,Daily
2025-08-16,Shape Circle,2361,Daily
2025-08-17,Shape Circle,1160,Daily
2025-08-18,Shape Circle,1461,Daily
2025-08-19,Shape Circle,1563,Daily
2025-08-20,Shape Circle,2122,Daily
2025-08-21,Shape Circle,1231,Daily
2025-08-22,Shape Circle,2584,Daily
2025-08-23,Shape Circle,2940,Daily
2025-08-24,Shape Circle,1323,Daily
2025-08-25,Shape Circle,842,Daily
2025-08-26,Shape Circle,574,Daily
2025-08-27,Shape Circle,1408,Daily
2025-08-28,Shape Circle,880,Daily
2025-08-29,Shape Circle,963,Daily
2025-08-30,Shape Circle,1018,Daily
2025-08-31,Shape Circle,502,Daily
2025-09-01,Shape Circle,1398,Daily
2025-09-02,Shape Circle,754,Daily
2025-09-03,Shape Circle,1443,Daily
2025-09-04,Shape Circle,976,Daily
2025-09-05,Shape Circle,2397,Daily
2025-09-06,Shape Circle,1101,Daily
2025-09-07,Shape Circle,291,Daily
2025-09-08,Shape Circle,1174,Daily
2025-09-09,Shape Circle,1686,Daily
2025-09-10,Shape Circle,1887,Daily
2025-09-11,Shape Circle,2212,Daily
2025-09-12,Shape Circle,3109,Daily
2025-09-13,Shape Circle,2657,Daily
2025-09-14,Shape Circle,2266,Daily
2025-09-15,Shape Circle,3302,Daily
2025-09-16,Shape Circle,3538,Daily
2025-09-17,Shape Circle,2767,Daily
2025-09-18,Shape Circle,1706,Daily
2025-09-19,Shape Circle,3076,Daily
2025-09-20,Shape Circle,2635,Daily
2025-09-21,Shape Circle,1543,Daily
2025-09-22,Shape Circle,3022,Daily
2025-09-23,Shape Circle,1791,Daily
2025-09-24,Shape Circle,1824,Daily
2025-09-25,Shape Circle,1211,Daily
2025-09-26,Shape Circle,2411,Daily
2025-09-27,Shape Circle,1909,Daily
2025-09-28,Shape Circle,793,Daily
2025-09-29,Shape Circle,1341,Daily
2025-09-30,Shape Circle,1530,Daily
2025-10-01,Shape Circle,398,Daily
2025-10-02,Shape Circle,171,Daily
2025-10-03,Shape Circle,333,Daily
2025-10-04,Shape Circle,354,Daily
2025-10-05,Shape Circle,205,Daily
2025-10-06,Shape Circle,278,Daily
2025-10-07,Shape Circle,324,Daily
2025-10-08,Shape Circle,340,Daily
2025-10-09,Shape Circle,269,Daily
2025-10-10,Shape Circle,372,Daily
2025-10-11,Shape Circle,344,Daily
2025-10-12,Shape Circle,198,Daily
2025-10-13,Shape Circle,343,Daily
2025-10-14,Shape Circle,306,Daily
2025-10-15,Shape Circle,1170,Daily
2025-10-16,Shape Circle,858,Daily
2025-10-17,Shape Circle,1662,Daily
2025-10-18,Shape Circle,1353,Daily
2025-10-19,Shape Circle,706,Daily
2025-10-20,Shape Circle,1098,Daily
2025-10-21,Shape Circle,1006,Daily
2025-10-22,Shape Circle,1186,Daily
2025-10-23,Shape Circle,702,Daily
2025-10-24,Shape Circle,1460,Daily
2025-10-25,Shape Circle,1242,Daily
2025-10-26,Shape Circle,578,Daily
2025-10-27,Shape Circle,1132,Daily
2025-10-28,Shape Circle,901,Daily
2025-10-29,Shape Circle,1040,Daily
2025-10-30,Shape Circle,740,Daily
2025-10-31,Shape Circle,1603,Daily
2025-11-01,Shape Circle,1270,Daily
2025-11-02,Shape Circle,616,Daily
2025-11-03,Shape Circle,51,Daily
2025_26,Shape Circle,12025,Weekly
2025_27,Shape Circle,18768,Weekly
2025_28,Shape Circle,13110,Weekly
2025_30,Shape Circle,12023,Weekly
2025_31,Shape Circle,12439,Weekly
2025_32,Shape Circle,12358,Weekly
2025_33,Shape Circle,11616,Weekly
2025_34,Shape Circle,6923,Weekly
2025_35,Shape Circle,9068,Weekly
2025_36,Shape Circle,18971,Weekly
2025_37,Shape Circle,16540,Weekly
2025_38,Shape Circle,11019,Weekly
2025_39,Shape Circle,2063,Weekly
2025_40,Shape Circle,2172,Weekly
2025_41,Shape Circle,7853,Weekly
2025_42,Shape Circle,7201,Weekly
2025_43,Shape Circle,5320,Weekly
2025-07,Shape Circle,49053,Monthly
2025-08,Shape Circle,48057,Monthly
2025-09,Shape Circle,57750,Monthly
2025-10,Shape Circle,22672,Monthly
2025-11,Shape Circle,1937,Monthly
2025-07-02,Shape Triangle,2,Daily
2025-07-03,Shape Triangle,1,Daily
2025-07-05,Shape Triangle,1360,Daily
2025-07-06,Shape Triangle,559,Daily
2025-07-07,Shape Triangle,2160,Daily
2025-07-08,Shape Triangle,907,Daily
2025-07-09,Shape Triangle,5015,Daily
2025-07-10,Shape Triangle,1266,Daily
2025-07-11,Shape Triangle,4779,Daily
2025-07-12,Shape Triangle,2115,Daily
2025-07-13,Shape Triangle,596,Daily
2025-07-14,Shape Triangle,1208,Daily
2025-07-15,Shape Triangle,510,Daily
2025-07-16,Shape Triangle,743,Daily
2025-07-17,Shape Triangle,328,Daily
2025-07-18,Shape Triangle,899,Daily
2025-07-19,Shape Triangle,408,Daily
2025-07-20,Shape Triangle,228,Daily
2025-07-21,Shape Triangle,838,Daily
2025-07-22,Shape Triangle,209,Daily
2025-07-30,Shape Triangle,912,Daily
2025-07-31,Shape Triangle,724,Daily
2025-08-01,Shape Triangle,1014,Daily
2025-08-02,Shape Triangle,514,Daily
2025-08-03,Shape Triangle,140,Daily
2025-08-04,Shape Triangle,113,Daily
2025-08-05,Shape Triangle,91,Daily
2025-08-06,Shape Triangle,596,Daily
2025-08-07,Shape Triangle,445,Daily
2025-08-08,Shape Triangle,721,Daily
2025-08-09,Shape Triangle,578,Daily
2025-08-10,Shape Triangle,337,Daily
2025-08-11,Shape Triangle,170,Daily
2025-08-12,Shape Triangle,408,Daily
2025-08-13,Shape Triangle,595,Daily
2025-08-14,Shape Triangle,342,Daily
2025-08-15,Shape Triangle,538,Daily
2025-08-16,Shape Triangle,724,Daily
2025-08-17,Shape Triangle,446,Daily
2025-08-18,Shape Triangle,521,Daily
2025-08-19,Shape Triangle,538,Daily
2025-08-20,Shape Triangle,717,Daily
2025-08-21,Shape Triangle,395,Daily
2025-08-22,Shape Triangle,553,Daily
2025-08-23,Shape Triangle,756,Daily
2025-08-24,Shape Triangle,427,Daily
2025-08-25,Shape Triangle,260,Daily
2025-08-26,Shape Triangle,169,Daily
2025-08-27,Shape Triangle,362,Daily
2025-08-28,Shape Triangle,218,Daily
2025-08-29,Shape Triangle,269,Daily
2025-08-30,Shape Triangle,214,Daily
2025-08-31,Shape Triangle,164,Daily
2025-09-01,Shape Triangle,360,Daily
2025-09-02,Shape Triangle,232,Daily
2025-09-03,Shape Triangle,133,Daily
2025-09-04,Shape Triangle,116,Daily
2025-09-05,Shape Triangle,235,Daily
2025-09-06,Shape Triangle,151,Daily
2025-09-07,Shape Triangle,49,Daily
2025-09-08,Shape Triangle,115,Daily
2025-09-09,Shape Triangle,187,Daily
2025-09-10,Shape Triangle,254,Daily
2025-09-11,Shape Triangle,250,Daily
2025-09-12,Shape Triangle,311,Daily
2025-09-13,Shape Triangle,305,Daily
2025-09-14,Shape Triangle,304,Daily
2025-09-15,Shape Triangle,350,Daily
2025-09-16,Shape Triangle,401,Daily
2025-09-17,Shape Triangle,394,Daily
2025-09-18,Shape Triangle,291,Daily
2025-09-19,Shape Triangle,399,Daily
2025-09-20,Shape Triangle,398,Daily
2025-09-21,Shape Triangle,249,Daily
2025-09-22,Shape Triangle,266,Daily
2025-09-23,Shape Triangle,256,Daily
2025-09-24,Shape Triangle,236,Daily
2025-09-25,Shape Triangle,217,Daily
2025-09-26,Shape Triangle,247,Daily
2025-09-27,Shape Triangle,228,Daily
2025-09-28,Shape Triangle,148,Daily
2025-09-29,Shape Triangle,164,Daily
2025-09-30,Shape Triangle,189,Daily
2025-10-01,Shape Triangle,99,Daily
2025-10-02,Shape Triangle,39,Daily
2025-10-03,Shape Triangle,54,Daily
2025-10-04,Shape Triangle,42,Daily
2025-10-05,Shape Triangle,59,Daily
2025-10-06,Shape Triangle,53,Daily
2025-10-07,Shape Triangle,61,Daily
2025-10-08,Shape Triangle,70,Daily
2025-10-09,Shape Triangle,56,Daily
2025-10-10,Shape Triangle,68,Daily
2025-10-11,Shape Triangle,44,Daily
2025-10-12,Shape Triangle,46,Daily
