date,game_name,event,domain,language,instances,visits,users
7/1/2025,Color Red,completed,CG,hi,2,2,2
7/1/2025,Color Red,introduction,CG,hi,2,2,2
7/1/2025,Color Red,mid_introduction,CG,hi,2,2,2
7/1/2025,Color Red,parent_poll,CG,hi,1,1,1
7/1/2025,Color Red,questions,CG,hi,2,2,2
7/1/2025,Color Red,rewards,CG,hi,2,2,2
7/1/2025,Color Red,started,CG,hi,2,2,2
7/1/2025,Color Red,validation,CG,hi,2,2,2
7/1/2025,Color Yellow,introduction,CG,hi,1,1,1
7/1/2025,Color Yellow,mid_introduction,CG,hi,1,1,1
7/1/2025,Color Yellow,parent_poll,CG,hi,1,1,1
7/1/2025,Color Yellow,questions,CG,hi,1,1,1
7/1/2025,Color Yellow,started,CG,hi,1,1,1
7/1/2025,Color Yellow,validation,CG,hi,1,1,1
7/1/2025,Shape Circle,completed,CG,hi,2,2,2
7/1/2025,Shape Circle,introduction,CG,hi,3,2,2
7/1/2025,Shape Circle,mid_introduction,CG,hi,2,2,2
7/1/2025,Shape Circle,parent_poll,CG,hi,2,2,2
7/1/2025,Shape Circle,questions,CG,hi,2,2,2
7/1/2025,Shape Circle,rewards,CG,hi,2,2,2
7/1/2025,Shape Circle,started,CG,hi,3,2,2
7/1/2025,Shape Circle,validation,CG,hi,2,2,2
7/1/2025,Shape Triangle,completed,CG,hi,2,2,2
7/1/2025,Shape Triangle,introduction,CG,hi,2,2,2
7/1/2025,Shape Triangle,mid_introduction,CG,hi,2,2,2
7/1/2025,Shape Triangle,parent_poll,CG,hi,2,2,2
7/1/2025,Shape Triangle,questions,CG,hi,2,2,2
7/1/2025,Shape Triangle,rewards,CG,hi,2,2,2
7/1/2025,Shape Triangle,started,CG,hi,2,2,2
7/1/2025,Shape Triangle,validation,CG,hi,2,2,2
7/2/2025,Color Red,completed,CG,hi,1,1,1
7/2/2025,Color Red,introduction,CG,hi,2,2,2
7/2/2025,Color Red,mid_introduction,CG,hi,2,2,2
7/2/2025,Color Red,parent_poll,CG,hi,1,1,1
7/2/2025,Color Red,questions,CG,hi,2,2,2
7/2/2025,Color Red,rewards,CG,hi,1,1,1
7/2/2025,Color Red,started,CG,hi,3,2,2
7/2/2025,Color Red,validation,CG,hi,2,2,2
7/2/2025,Color Yellow,completed,CG,hi,1,1,1
7/2/2025,Color Yellow,introduction,CG,hi,1,1,1
7/2/2025,Color Yellow,mid_introduction,CG,hi,1,1,1
7/2/2025,Color Yellow,parent_poll,CG,hi,1,1,1
7/2/2025,Color Yellow,questions,CG,hi,1,1,1
7/2/2025,Color Yellow,rewards,CG,hi,1,1,1
7/2/2025,Color Yellow,started,CG,hi,1,1,1
7/2/2025,Color Yellow,validation,CG,hi,1,1,1
7/2/2025,Shape Circle,completed,CG,hi,936,789,834
7/2/2025,Shape Circle,introduction,CG,hi,1669,1213,1446
7/2/2025,Shape Circle,mid_introduction,CG,hi,1053,883,971
7/2/2025,Shape Circle,parent_poll,CG,hi,409,372,387
7/2/2025,Shape Circle,questions,CG,hi,1137,943,1041
7/2/2025,Shape Circle,rewards,CG,hi,941,794,839
7/2/2025,Shape Circle,started,CG,hi,2485,1747,2130
7/2/2025,Shape Circle,validation,CG,hi,1023,861,944
7/2/2025,Shape Triangle,completed,CG,hi,1,1,1
7/2/2025,Shape Triangle,introduction,CG,hi,2,2,2
7/2/2025,Shape Triangle,mid_introduction,CG,hi,1,1,1
7/2/2025,Shape Triangle,questions,CG,hi,1,1,1
7/2/2025,Shape Triangle,rewards,CG,hi,1,1,1
7/2/2025,Shape Triangle,started,CG,hi,4,3,3
7/2/2025,Shape Triangle,validation,CG,hi,1,1,1
7/3/2025,Color Yellow,completed,CG,hi,1,1,1
7/3/2025,Color Yellow,introduction,CG,hi,1,1,1
7/3/2025,Color Yellow,mid_introduction,CG,hi,1,1,1
7/3/2025,Color Yellow,questions,CG,hi,1,1,1
7/3/2025,Color Yellow,rewards,CG,hi,1,1,1
7/3/2025,Color Yellow,started,CG,hi,1,1,1
7/3/2025,Color Yellow,validation,CG,hi,1,1,1
7/3/2025,Shape Circle,completed,CG,hi,222,188,190
7/3/2025,Shape Circle,introduction,CG,hi,433,322,354
7/3/2025,Shape Circle,mid_introduction,CG,hi,249,212,217
7/3/2025,Shape Circle,parent_poll,CG,hi,69,66,69
7/3/2025,Shape Circle,questions,CG,hi,297,243,249
7/3/2025,Shape Circle,rewards,CG,hi,223,188,190
7/3/2025,Shape Circle,started,CG,hi,609,452,497
7/3/2025,Shape Circle,validation,CG,hi,244,208,213
7/3/2025,Shape Triangle,completed,CG,hi,1,1,1
7/3/2025,Shape Triangle,introduction,CG,hi,1,1,1
7/3/2025,Shape Triangle,mid_introduction,CG,hi,1,1,1
7/3/2025,Shape Triangle,parent_poll,CG,hi,1,1,1
7/3/2025,Shape Triangle,questions,CG,hi,1,1,1
7/3/2025,Shape Triangle,rewards,CG,hi,1,1,1
7/3/2025,Shape Triangle,started,CG,hi,1,1,1
7/3/2025,Shape Triangle,validation,CG,hi,1,1,1
7/4/2025,Color Red,introduction,CG,mr,1,1,1
7/4/2025,Color Red,started,CG,mr,2,1,1
7/4/2025,Shape Circle,completed,CG,hi,1140,975,1014
7/4/2025,Shape Circle,completed,CG,mr,2,1,1
7/4/2025,Shape Circle,introduction,CG,hi,1968,1511,1678
7/4/2025,Shape Circle,introduction,CG,mr,8,5,5
7/4/2025,Shape Circle,mid_introduction,CG,hi,1261,1076,1140
7/4/2025,Shape Circle,mid_introduction,CG,mr,4,2,2
7/4/2025,Shape Circle,parent_poll,CG,hi,471,426,433
7/4/2025,Shape Circle,parent_poll,CG,mr,3,2,2
7/4/2025,Shape Circle,questions,CG,hi,1348,1139,1212
7/4/2025,Shape Circle,questions,CG,mr,6,4,4
7/4/2025,Shape Circle,rewards,CG,hi,1141,975,1015
7/4/2025,Shape Circle,started,CG,hi,2905,2127,2443
7/4/2025,Shape Circle,started,CG,mr,8,5,5
7/4/2025,Shape Circle,validation,CG,hi,1219,1039,1103
7/4/2025,Shape Circle,validation,CG,mr,4,2,2
7/4/2025,Shape Triangle,completed,CG,mr,3,2,2
7/4/2025,Shape Triangle,introduction,CG,hi,1,1,1
7/4/2025,Shape Triangle,introduction,CG,mr,4,2,3
7/4/2025,Shape Triangle,mid_introduction,CG,mr,3,2,3
7/4/2025,Shape Triangle,parent_poll,CG,mr,2,2,2
7/4/2025,Shape Triangle,questions,CG,hi,1,1,1
7/4/2025,Shape Triangle,questions,CG,mr,3,2,3
7/4/2025,Shape Triangle,rewards,CG,mr,3,2,2
7/4/2025,Shape Triangle,started,CG,hi,1,1,1
7/4/2025,Shape Triangle,started,CG,mr,6,2,3
7/4/2025,Shape Triangle,validation,CG,mr,3,2,3
7/5/2025,Color Red,completed,CG,hi,891,815,818
7/5/2025,Color Red,completed,CG,mr,1621,1292,1352
7/5/2025,Color Red,introduction,CG,hi,1245,1097,1132
7/5/2025,Color Red,introduction,CG,mr,2393,1848,2146
7/5/2025,Color Red,mid_introduction,CG,hi,870,835,840
7/5/2025,Color Red,mid_introduction,CG,mr,1563,1390,1494
7/5/2025,Color Red,parent_poll,CG,hi,348,343,343
7/5/2025,Color Red,parent_poll,CG,mr,694,636,671
7/5/2025,Color Red,questions,CG,hi,942,885,898
7/5/2025,Color Red,questions,CG,mr,1722,1464,1618
7/5/2025,Color Red,rewards,CG,hi,804,772,769
7/5/2025,Color Red,rewards,CG,mr,1382,1236,1260
7/5/2025,Color Red,started,CG,hi,1652,1441,1503
7/5/2025,Color Red,started,CG,mr,3345,2637,3038
7/5/2025,Color Red,validation,CG,hi,850,817,821
7/5/2025,Color Red,validation,CG,mr,1515,1355,1449
7/5/2025,Color Yellow,completed,CG,hi,76,63,61
7/5/2025,Color Yellow,completed,CG,mr,238,170,165
7/5/2025,Color Yellow,introduction,CG,hi,89,70,68
7/5/2025,Color Yellow,introduction,CG,mr,239,171,166
7/5/2025,Color Yellow,mid_introduction,CG,hi,59,56,55
7/5/2025,Color Yellow,parent_poll,CG,hi,28,27,26
7/5/2025,Color Yellow,questions,CG,hi,68,61,59
7/5/2025,Color Yellow,rewards,CG,hi,60,55,54
7/5/2025,Color Yellow,started,CG,hi,98,75,73
7/5/2025,Color Yellow,started,CG,mr,330,231,223
7/5/2025,Color Yellow,validation,CG,hi,58,55,54
7/5/2025,Shape Circle,completed,CG,hi,766,581,575
7/5/2025,Shape Circle,completed,CG,mr,1195,790,742
7/5/2025,Shape Circle,introduction,CG,hi,1126,826,858
7/5/2025,Shape Circle,introduction,CG,mr,1406,885,830
7/5/2025,Shape Circle,mid_introduction,CG,hi,628,513,529
7/5/2025,Shape Circle,mid_introduction,CG,mr,952,735,700
7/5/2025,Shape Circle,parent_poll,CG,hi,215,191,195
7/5/2025,Shape Circle,parent_poll,CG,mr,555,467,449
7/5/2025,Shape Circle,questions,CG,hi,772,599,622
7/5/2025,Shape Circle,questions,CG,mr,1128,794,751
7/5/2025,Shape Circle,rewards,CG,hi,524,434,430
7/5/2025,Shape Circle,rewards,CG,mr,906,706,672
7/5/2025,Shape Circle,started,CG,hi,1442,1069,1125
7/5/2025,Shape Circle,started,CG,mr,1489,917,853
7/5/2025,Shape Circle,validation,CG,hi,606,496,512
